src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,system_process_pid,system_process_name
192.168.6.173,ec:9b:8b:02:24:38,ec:9b:8b,45134,13.233.16.117,52:54:00:c2:9a:03,52:54:00,12366,6,4,0,0,1.70E+12,1.70E+12,9028,3,222,1.70E+12,1.70E+12,9028,3,222,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.6.173,ec:9b:8b:02:24:38,ec:9b:8b,45134,13.233.16.117,52:54:00:c2:9a:03,52:54:00,12366,6,4,2,0,1.70E+12,1.70E+12,9028,3,234,1.70E+12,1.70E+12,9028,3,234,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,53061,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,0,0,1.70E+12,1.70E+12,0,2,208,1.70E+12,1.70E+12,0,1,72,1.70E+12,1.70E+12,0,1,136,DNS,Network,0,6,pool.ntp.org,,,,,-1,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,53061,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,2,0,1.70E+12,1.70E+12,0,2,216,1.70E+12,1.70E+12,0,1,76,1.70E+12,1.70E+12,0,1,140,DNS,Network,0,6,pool.ntp.org,,,,,-1,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,50200,162.159.200.1,52:54:00:c2:9a:03,52:54:00,123,17,4,0,0,1.70E+12,1.70E+12,0,1,90,1.70E+12,1.70E+12,0,1,90,0,0,0,0,0,NTP,System,0,6,,,,,,-1,
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,50200,162.159.200.1,52:54:00:c2:9a:03,52:54:00,123,17,4,2,0,1.70E+12,1.70E+12,0,1,94,1.70E+12,1.70E+12,0,1,94,0,0,0,0,0,NTP,System,0,6,,,,,,-1,
192.168.6.174,ec:9b:8b:02:24:38,ec:9b:8b,52994,13.233.16.117,52:54:00:c2:9a:03,52:54:00,8800,17,4,0,0,1.70E+12,1.70E+12,2062,6,1836,1.70E+12,1.70E+12,2062,6,1836,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.6.174,ec:9b:8b:02:24:38,ec:9b:8b,52994,13.233.16.117,52:54:00:c2:9a:03,52:54:00,8800,17,4,2,0,1.70E+12,1.70E+12,2062,6,1860,1.70E+12,1.70E+12,2062,6,1860,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1,
192.168.4.4,ec:9b:8b:02:24:38,ec:9b:8b,33330,208.67.220.220,52:54:00:c2:9a:03,52:54:00,53,17,4,0,0,1.70E+12,1.70E+12,273,2,228,1.70E+12,1.70E+12,0,1,82,1.70E+12,1.70E+12,0,1,146,DNS,Network,0,6,2.ciscome.pool.ntp.org,,,,,-1,
192.168.4.4,ec:9b:8b:02:24:38,ec:9b:8b,33330,208.67.220.220,52:54:00:c2:9a:03,52:54:00,53,17,4,2,0,1.70E+12,1.70E+12,273,2,236,1.70E+12,1.70E+12,0,1,86,1.70E+12,1.70E+12,0,1,150,DNS,Network,0,6,2.ciscome.pool.ntp.org,,,,,-1,
192.168.4.4,ec:9b:8b:02:24:38,ec:9b:8b,40486,157.245.102.2,52:54:00:c2:9a:03,52:54:00,123,17,4,0,0,1.70E+12,1.70E+12,4003,3,270,1.70E+12,1.70E+12,4003,3,270,0,0,0,0,0,NTP,System,0,6,,,,,,-1,
192.168.4.4,ec:9b:8b:02:24:38,ec:9b:8b,40486,157.245.102.2,52:54:00:c2:9a:03,52:54:00,123,17,4,2,0,1.70E+12,1.70E+12,4003,3,282,1.70E+12,1.70E+12,4003,3,282,0,0,0,0,0,NTP,System,0,6,,,,,,-1,
192.168.4.76,ec:9b:8b:02:24:38,ec:9b:8b,51226,10.182.1.235,52:54:00:c2:9a:03,52:54:00,8080,6,4,0,0,1.70E+12,1.70E+12,9018,3,194,1.70E+12,1.70E+12,9018,3,194,0,0,0,0,0,HTTP_Proxy,Web,1,1,,,,,,-1,
192.168.4.76,ec:9b:8b:02:24:38,ec:9b:8b,51226,10.182.1.235,52:54:00:c2:9a:03,52:54:00,8080,6,4,2,0,1.70E+12,1.70E+12,9018,3,206,1.70E+12,1.70E+12,9018,3,206,0,0,0,0,0,HTTP_Proxy,Web,1,1,,,,,,-1,
142.250.195.100,52:54:00:c2:9a:03,52:54:00,443,192.168.5.10,ec:9b:8b:02:24:38,ec:9b:8b,38254,6,4,0,0,1.70E+12,1.70E+12,423,7,620,1.70E+12,1.70E+12,421,3,344,1.70E+12,1.70E+12,36,4,276,TLS,Web,0,6,,,,,,-1,
142.250.195.100,52:54:00:c2:9a:03,52:54:00,443,192.168.5.10,ec:9b:8b:02:24:38,ec:9b:8b,38254,6,4,2,0,1.70E+12,1.70E+12,423,7,648,1.70E+12,1.70E+12,421,3,356,1.70E+12,1.70E+12,36,4,292,TLS,Web,0,6,,,,,,-1,
