src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
192.168.4.8,ec:9b:8b:02:24:38,ec:9b:8b,53032,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,0,1.6987E+12,1.6987E+12,0,2,208,1.6987E+12,1.6987E+12,0,1,72,1.6987E+12,1.6987E+12,0,1,136,DNS,Network,0,6,pool.ntp.org,,,,
192.168.4.8,ec:9b:8b:02:24:38,ec:9b:8b,53032,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,2,1.6987E+12,1.6987E+12,0,2,216,1.6987E+12,1.6987E+12,0,1,76,1.6987E+12,1.6987E+12,0,1,140,DNS,Network,0,6,pool.ntp.org,,,,
192.168.4.196,ec:9b:8b:02:24:38,ec:9b:8b,1787,52.137.106.217,52:54:00:c2:9a:03,52:54:00,443,6,4,0,1.6987E+12,1.6987E+12,1499,24,6665,1.6987E+12,1.6987E+12,1499,12,1328,1.6987E+12,1.6987E+12,1260,12,5337,TLS.Microsoft,Cloud,0,6,settings-win.data.microsoft.com,28a2c9bd18a11de089ef85a160da29e4,,,
192.168.4.196,ec:9b:8b:02:24:38,ec:9b:8b,1787,52.137.106.217,52:54:00:c2:9a:03,52:54:00,443,6,4,2,1.6987E+12,1.6987E+12,1499,24,6761,1.6987E+12,1.6987E+12,1499,12,1376,1.6987E+12,1.6987E+12,1260,12,5385,TLS.Microsoft,Cloud,0,6,settings-win.data.microsoft.com,28a2c9bd18a11de089ef85a160da29e4,,,
192.168.4.143,ec:9b:8b:02:24:38,ec:9b:8b,46230,132.163.96.6,52:54:00:c2:9a:03,52:54:00,123,17,4,0,1.6987E+12,1.6987E+12,0,1,90,1.6987E+12,1.6987E+12,0,1,90,0,0,0,0,0,NTP,System,0,6,,,,,
192.168.4.143,ec:9b:8b:02:24:38,ec:9b:8b,46230,132.163.96.6,52:54:00:c2:9a:03,52:54:00,123,17,4,2,1.6987E+12,1.6987E+12,0,1,94,1.6987E+12,1.6987E+12,0,1,94,0,0,0,0,0,NTP,System,0,6,,,,,
192.168.4.88,ec:9b:8b:02:24:38,ec:9b:8b,60446,35.241.16.93,52:54:00:c2:9a:03,52:54:00,443,6,4,0,1.6987E+12,1.6987E+12,17,3,198,1.6987E+12,1.6987E+12,17,2,132,1.6987E+12,1.6987E+12,0,1,66,TLS,Web,1,1,,,,,
192.168.4.88,ec:9b:8b:02:24:38,ec:9b:8b,60446,35.241.16.93,52:54:00:c2:9a:03,52:54:00,443,6,4,2,1.6987E+12,1.6987E+12,17,3,210,1.6987E+12,1.6987E+12,17,2,140,1.6987E+12,1.6987E+12,0,1,70,TLS,Web,1,1,,,,,
192.168.4.88,ec:9b:8b:02:24:38,ec:9b:8b,37576,44.202.21.28,52:54:00:c2:9a:03,52:54:00,443,6,4,0,1.6987E+12,1.6987E+12,764,10,1122,1.6987E+12,1.6987E+12,764,6,372,1.6987E+12,1.6987E+12,535,4,750,TLS,Web,0,6,,,,,
192.168.4.88,ec:9b:8b:02:24:38,ec:9b:8b,37576,44.202.21.28,52:54:00:c2:9a:03,52:54:00,443,6,4,2,1.6987E+12,1.6987E+12,764,10,1162,1.6987E+12,1.6987E+12,764,6,396,1.6987E+12,1.6987E+12,535,4,766,TLS,Web,0,6,,,,,
