src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,system_process_pid
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,56526,112.74.108.149,52:54:00:c2:9a:03,52:54:00,32002,6,4,0,1.6987E+12,1.6987E+12,7005,4,296,1.6987E+12,1.6987E+12,7005,4,296,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,56526,112.74.108.149,52:54:00:c2:9a:03,52:54:00,32002,6,4,2,1.6987E+12,1.6987E+12,7005,4,312,1.6987E+12,1.6987E+12,7005,4,312,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1
192.168.4.9,ec:9b:8b:02:24:38,ec:9b:8b,52219,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,0,1.6987E+12,1.6987E+12,0,2,208,1.6987E+12,1.6987E+12,0,1,72,1.6987E+12,1.6987E+12,0,1,136,DNS,Network,0,6,pool.ntp.org,,,,,-1
192.168.4.9,ec:9b:8b:02:24:38,ec:9b:8b,52219,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,2,1.6987E+12,1.6987E+12,0,2,216,1.6987E+12,1.6987E+12,0,1,76,1.6987E+12,1.6987E+12,0,1,140,DNS,Network,0,6,pool.ntp.org,,,,,-1
192.168.4.148,ec:9b:8b:02:24:38,ec:9b:8b,33904,20.42.73.24,52:54:00:c2:9a:03,52:54:00,443,6,4,0,1.6987E+12,1.6987E+12,229,3,180,1.6987E+12,1.6987E+12,229,2,120,1.6987E+12,1.6987E+12,0,1,60,TLS,Web,1,1,,,,,,-1
192.168.4.148,ec:9b:8b:02:24:38,ec:9b:8b,33904,20.42.73.24,52:54:00:c2:9a:03,52:54:00,443,6,4,2,1.6987E+12,1.6987E+12,230,3,192,1.6987E+12,1.6987E+12,230,2,128,1.6987E+12,1.6987E+12,0,1,64,TLS,Web,1,1,,,,,,-1
192.168.5.152,ec:9b:8b:02:24:38,ec:9b:8b,27180,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,0,1.6987E+12,1.6987E+12,54,2,212,1.6987E+12,1.6987E+12,0,1,74,1.6987E+12,1.6987E+12,0,1,138,DNS,Network,0,6,2.pool.ntp.org,,,,,-1
192.168.5.152,ec:9b:8b:02:24:38,ec:9b:8b,27180,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,2,1.6987E+12,1.6987E+12,54,2,220,1.6987E+12,1.6987E+12,0,1,78,1.6987E+12,1.6987E+12,0,1,142,DNS,Network,0,6,2.pool.ntp.org,,,,,-1
192.168.5.152,ec:9b:8b:02:24:38,ec:9b:8b,29831,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,0,1.6987E+12,1.6987E+12,50,2,212,1.6987E+12,1.6987E+12,0,1,74,1.6987E+12,1.6987E+12,0,1,138,DNS,Network,0,6,0.pool.ntp.org,,,,,-1
192.168.5.152,ec:9b:8b:02:24:38,ec:9b:8b,29831,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,2,1.6987E+12,1.6987E+12,50,2,220,1.6987E+12,1.6987E+12,0,1,78,1.6987E+12,1.6987E+12,0,1,142,DNS,Network,0,6,0.pool.ntp.org,,,,,-1
192.168.5.152,ec:9b:8b:02:24:38,ec:9b:8b,60569,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,0,1.6987E+12,1.6987E+12,56,2,212,1.6987E+12,1.6987E+12,0,1,74,1.6987E+12,1.6987E+12,0,1,138,DNS,Network,0,6,3.pool.ntp.org,,,,,-1
192.168.5.152,ec:9b:8b:02:24:38,ec:9b:8b,60569,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,2,1.6987E+12,1.6987E+12,56,2,220,1.6987E+12,1.6987E+12,0,1,78,1.6987E+12,1.6987E+12,0,1,142,DNS,Network,0,6,3.pool.ntp.org,,,,,-1
192.168.5.152,ec:9b:8b:02:24:38,ec:9b:8b,34041,139.59.55.93,52:54:00:c2:9a:03,52:54:00,123,17,4,0,1.6987E+12,1.6987E+12,0,1,90,1.6987E+12,1.6987E+12,0,1,90,0,0,0,0,0,NTP,System,0,6,,,,,,-1
192.168.5.152,ec:9b:8b:02:24:38,ec:9b:8b,34041,139.59.55.93,52:54:00:c2:9a:03,52:54:00,123,17,4,2,1.6987E+12,1.6987E+12,0,1,94,1.6987E+12,1.6987E+12,0,1,94,0,0,0,0,0,NTP,System,0,6,,,,,,-1
192.168.5.152,ec:9b:8b:02:24:38,ec:9b:8b,54128,129.154.46.154,52:54:00:c2:9a:03,52:54:00,123,17,4,0,1.6987E+12,1.6987E+12,0,1,90,1.6987E+12,1.6987E+12,0,1,90,0,0,0,0,0,NTP,System,0,6,,,,,,-1
192.168.5.152,ec:9b:8b:02:24:38,ec:9b:8b,54128,129.154.46.154,52:54:00:c2:9a:03,52:54:00,123,17,4,2,1.6987E+12,1.6987E+12,0,1,94,1.6987E+12,1.6987E+12,0,1,94,0,0,0,0,0,NTP,System,0,6,,,,,,-1
192.168.5.152,ec:9b:8b:02:24:38,ec:9b:8b,39295,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,0,1.6987E+12,1.6987E+12,0,2,164,1.6987E+12,1.6987E+12,0,1,74,1.6987E+12,1.6987E+12,0,1,90,DNS.Google,Network,0,6,www.google.com,,,,,-1
192.168.5.152,ec:9b:8b:02:24:38,ec:9b:8b,39295,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,2,1.6987E+12,1.6987E+12,0,2,172,1.6987E+12,1.6987E+12,0,1,78,1.6987E+12,1.6987E+12,0,1,94,DNS.Google,Network,0,6,www.google.com,,,,,-1
192.168.4.8,ec:9b:8b:02:24:38,ec:9b:8b,45986,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,0,1.6987E+12,1.6987E+12,0,2,208,1.6987E+12,1.6987E+12,0,1,72,1.6987E+12,1.6987E+12,0,1,136,DNS,Network,0,6,pool.ntp.org,,,,,-1
192.168.4.8,ec:9b:8b:02:24:38,ec:9b:8b,45986,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,2,1.6987E+12,1.6987E+12,0,2,216,1.6987E+12,1.6987E+12,0,1,76,1.6987E+12,1.6987E+12,0,1,140,DNS,Network,0,6,pool.ntp.org,,,,,-1
192.168.4.7,ec:9b:8b:02:24:38,ec:9b:8b,44312,139.59.74.161,52:54:00:c2:9a:03,52:54:00,123,17,4,0,1.6987E+12,1.6987E+12,0,1,90,1.6987E+12,1.6987E+12,0,1,90,0,0,0,0,0,NTP,System,0,6,,,,,,-1
192.168.4.7,ec:9b:8b:02:24:38,ec:9b:8b,44312,139.59.74.161,52:54:00:c2:9a:03,52:54:00,123,17,4,2,1.6987E+12,1.6987E+12,0,1,94,1.6987E+12,1.6987E+12,0,1,94,0,0,0,0,0,NTP,System,0,6,,,,,,-1
192.168.4.4,ec:9b:8b:02:24:38,ec:9b:8b,48159,208.67.220.220,52:54:00:c2:9a:03,52:54:00,53,17,4,0,1.6987E+12,1.6987E+12,188,2,228,1.6987E+12,1.6987E+12,0,1,82,1.6987E+12,1.6987E+12,0,1,146,DNS,Network,0,6,1.ciscome.pool.ntp.org,,,,,-1
192.168.4.4,ec:9b:8b:02:24:38,ec:9b:8b,48159,208.67.220.220,52:54:00:c2:9a:03,52:54:00,53,17,4,2,1.6987E+12,1.6987E+12,188,2,236,1.6987E+12,1.6987E+12,0,1,86,1.6987E+12,1.6987E+12,0,1,150,DNS,Network,0,6,1.ciscome.pool.ntp.org,,,,,-1
192.168.4.4,ec:9b:8b:02:24:38,ec:9b:8b,58156,194.195.112.240,52:54:00:c2:9a:03,52:54:00,123,17,4,0,1.6987E+12,1.6987E+12,4004,3,270,1.6987E+12,1.6987E+12,4004,3,270,0,0,0,0,0,NTP,System,0,6,,,,,,-1
192.168.4.4,ec:9b:8b:02:24:38,ec:9b:8b,58156,194.195.112.240,52:54:00:c2:9a:03,52:54:00,123,17,4,2,1.6987E+12,1.6987E+12,4004,3,282,1.6987E+12,1.6987E+12,4004,3,282,0,0,0,0,0,NTP,System,0,6,,,,,,-1
192.168.4.143,ec:9b:8b:02:24:38,ec:9b:8b,42935,129.6.15.29,52:54:00:c2:9a:03,52:54:00,123,17,4,0,1.6987E+12,1.6987E+12,0,1,90,1.6987E+12,1.6987E+12,0,1,90,0,0,0,0,0,NTP,System,0,6,,,,,,-1
192.168.4.143,ec:9b:8b:02:24:38,ec:9b:8b,42935,129.6.15.29,52:54:00:c2:9a:03,52:54:00,123,17,4,2,1.6987E+12,1.6987E+12,0,1,94,1.6987E+12,1.6987E+12,0,1,94,0,0,0,0,0,NTP,System,0,6,,,,,,-1
192.168.6.172,ec:9b:8b:02:24:38,ec:9b:8b,57098,1.0.0.1,52:54:00:c2:9a:03,52:54:00,53,17,4,0,1.6987E+12,1.6987E+12,17,2,176,1.6987E+12,1.6987E+12,0,1,80,1.6987E+12,1.6987E+12,0,1,96,DNS,Network,0,6,connectpanasonic.com,,,,,-1
192.168.6.172,ec:9b:8b:02:24:38,ec:9b:8b,57098,1.0.0.1,52:54:00:c2:9a:03,52:54:00,53,17,4,2,1.6987E+12,1.6987E+12,17,2,184,1.6987E+12,1.6987E+12,0,1,84,1.6987E+12,1.6987E+12,0,1,100,DNS,Network,0,6,connectpanasonic.com,,,,,-1
192.168.6.172,ec:9b:8b:02:24:38,ec:9b:8b,47035,13.233.16.117,52:54:00:c2:9a:03,52:54:00,12366,6,4,0,1.6987E+12,1.6987E+12,9020,3,222,1.6987E+12,1.6987E+12,9020,3,222,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1
192.168.6.172,ec:9b:8b:02:24:38,ec:9b:8b,47035,13.233.16.117,52:54:00:c2:9a:03,52:54:00,12366,6,4,2,1.6987E+12,1.6987E+12,9020,3,234,1.6987E+12,1.6987E+12,9020,3,234,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,-1
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,34020,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,0,1.6987E+12,1.6987E+12,1,2,208,1.6987E+12,1.6987E+12,0,1,72,1.6987E+12,1.6987E+12,0,1,136,DNS,Network,0,6,pool.ntp.org,,,,,-1
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,34020,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,2,1.6987E+12,1.6987E+12,1,2,216,1.6987E+12,1.6987E+12,0,1,76,1.6987E+12,1.6987E+12,0,1,140,DNS,Network,0,6,pool.ntp.org,,,,,-1
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,33789,95.216.144.226,52:54:00:c2:9a:03,52:54:00,123,17,4,0,1.6987E+12,1.6987E+12,0,1,90,1.6987E+12,1.6987E+12,0,1,90,0,0,0,0,0,NTP,System,0,6,,,,,,-1
192.168.6.171,ec:9b:8b:02:24:38,ec:9b:8b,33789,95.216.144.226,52:54:00:c2:9a:03,52:54:00,123,17,4,2,1.6987E+12,1.6987E+12,0,1,94,1.6987E+12,1.6987E+12,0,1,94,0,0,0,0,0,NTP,System,0,6,,,,,,-1
192.168.4.8,ec:9b:8b:02:24:38,ec:9b:8b,45985,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,0,1.6987E+12,1.6987E+12,1,2,208,1.6987E+12,1.6987E+12,0,1,72,1.6987E+12,1.6987E+12,0,1,136,DNS,Network,0,6,pool.ntp.org,,,,,-1
192.168.4.8,ec:9b:8b:02:24:38,ec:9b:8b,45985,192.168.1.3,52:54:00:c2:9a:03,52:54:00,53,17,4,2,1.6987E+12,1.6987E+12,1,2,216,1.6987E+12,1.6987E+12,0,1,76,1.6987E+12,1.6987E+12,0,1,140,DNS,Network,0,6,pool.ntp.org,,,,,-1
192.168.4.143,ec:9b:8b:02:24:38,ec:9b:8b,33893,129.6.15.28,52:54:00:c2:9a:03,52:54:00,123,17,4,0,1.6987E+12,1.6987E+12,0,1,90,1.6987E+12,1.6987E+12,0,1,90,0,0,0,0,0,NTP,System,0,6,,,,,,-1
192.168.4.143,ec:9b:8b:02:24:38,ec:9b:8b,33893,129.6.15.28,52:54:00:c2:9a:03,52:54:00,123,17,4,2,1.6987E+12,1.6987E+12,0,1,94,1.6987E+12,1.6987E+12,0,1,94,0,0,0,0,0,NTP,System,0,6,,,,,,-1
192.168.4.143,ec:9b:8b:02:24:38,ec:9b:8b,50362,131.107.13.100,52:54:00:c2:9a:03,52:54:00,123,17,4,0,1.6987E+12,1.6987E+12,0,1,90,1.6987E+12,1.6987E+12,0,1,90,0,0,0,0,0,NTP,System,0,6,,,,,,-1
192.168.4.143,ec:9b:8b:02:24:38,ec:9b:8b,50362,131.107.13.100,52:54:00:c2:9a:03,52:54:00,123,17,4,2,1.6987E+12,1.6987E+12,0,1,94,1.6987E+12,1.6987E+12,0,1,94,0,0,0,0,0,NTP,System,0,6,,,,,,-1
